,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,All
,Ag,Al,Au,Cu,Ni,Pb,Sn,Fe,Zn,,Ag,Al,Au,Cu,Ni,Pb,Sn,Fe,Zn,
Collection elasticity to scrap price,0.09347785935446024,0.434555408447,0.8987545308154978,1.089213860130045,0.14563643080734645,0.17090952712982826,0.6977607896097168,0.44737614365145434,0.6601058186296204,,0.8158067551060618,0.8630108928026055,0.8127091749224475,0.8189249946504579,0.8566298397504385,0.8073527463117546,0.8655721755764826,0.8280409202120672,0.8102447387707277,
Direct melt fraction elasticity to scrap spread,0.6807380633600539,0.6776712676235497,0.7222802098623337,0.3534337989079429,,,,,0.7417721514797468,,0.8641478647693996,0.8830303470414703,0.7501829824917917,0.892862819213678,,,,,0.9122458080837872,
Fraction of viable mines that open,0.059231693389412296,0.029349852366188235,0.29504080923428144,0.19562850719154584,0.04507565341401944,0.46597872215275304,0.49379727975591997,0.3447554437816536,0.49757443730450907,,0.0,0.22358317945395684,0.11810968980422207,0.47239893986152715,0.08892885817753225,0.4529955696375282,0.7017881771805912,0.6651212683475377,0.787830518132375,
Incentive mine cost change per year,0.4101243281597235,0.2495915468182453,0.4125054156633305,0.7234517270776386,0.7612356735604546,0.2521012902735477,0.10937715182340245,0.20057249291276433,0.300577542779772,,0.8968633086868237,0.8727104879007135,0.7326325029591501,0.771534805212636,0.8217429264001842,0.7392506687619375,0.9504131853508012,0.7250002010901375,0.7980323508733063,
Incentive ore grade elasticity to COT,0.7198191210417552,1.0082665830667599,0.18649819608556714,0.4011409357856639,0.8785493958174295,0.02765875817703647,0.391899745381159,0.5210023119236543,0.1698878360720164,,0.7475076202007921,0.7180934695591054,0.8064392567534335,0.8656595982466735,1.0122567472032749,0.929868924564665,0.8983435681112453,0.6751364561372779,0.8523319832309415,
Incentive tonnage elasticity to price,0.20176751950485172,0.4625305922837675,1.0769173784357822,0.4861361773894804,0.02025559569432858,0.8298887843749715,0.6936325383464104,0.4167073772222664,0.16278302461719005,,0.782893805334797,0.9383990240296518,0.8482780512519842,0.9316302472591721,0.9967894916204896,0.8740407340730678,0.7614324801185406,0.8883220555917124,0.8763414631188723,
Intensity elasticity to GDP,0.33211939651362843,0.4572889878390835,1.2773314716463735,0.45181791165564683,0.2911938301653927,0.5209686805543271,0.6393605881367065,0.36356322951515996,1.0175622368266612,,0.8788633346225753,0.8295131637253251,0.8727892275523004,0.8614350325267658,0.8685384037881801,0.8277909118637983,0.7698352939487538,0.8861875755186728,0.7850651829492485,
Intensity elasticity to price,1.2097197224550815,0.4942033723385437,0.9657893511650312,0.4230258535399564,0.3389365812015741,0.12230981040979123,0.8341624272905778,0.9315384650674191,0.7290877461252411,,0.8479996733133888,0.6784059704952874,1.0357521712639297,0.9830302618139826,0.7942609666627617,0.7097889576483233,0.8489238274955545,0.9627845466579316,1.0512386158154474,
Intensity elasticity to time,0.5299597259176239,0.16837259663663318,0.17141212482765544,0.26383332574674523,0.10519869920087167,0.23612819384681366,0.18365132304550158,0.27149819111268836,0.5335117285846543,,0.17889073387096488,0.345439685230704,0.28687396219761396,0.3139507573184012,0.3343160004629699,0.30332160743174796,0.29056831946125083,0.31649912035874095,0.21651451570484798,
Mine CU elasticity to TCM,0.4044977084411146,0.36869265344532415,0.47369049795194934,0.4800279148732258,0.5602498763388493,0.14572506663851945,0.6102718479551233,0.5895177077301698,0.686453389818073,,0.8517629822775415,0.6478355509631374,0.7898405513063023,0.6645613380315636,0.9387090090723701,0.8192058352882355,0.8259087208797562,0.7299812554946766,0.8816692667476017,
Mine cost change per year,0.4101243281597235,0.2495915468182453,0.4125054156633305,0.7234517270776386,0.7612356735604546,0.2521012902735477,0.10937715182340245,0.20057249291276433,0.300577542779772,,0.8968633086868237,0.8727104879007135,0.7326325029591501,0.771534805212636,0.8217429264001842,0.7392506687619375,0.9504131853508012,0.7250002010901375,0.7980323508733063,
Mine cost elasticity to ore grade,0.6221517449638727,0.2608693122480099,0.4218113691848748,0.6411913748538617,0.10777263531458213,0.24131535881119887,0.6052422545238922,0.2570019520209088,0.4010231584194752,,0.770517302609403,1.0071114829232883,0.7460234719100705,0.7237823812958638,0.9359255571479591,0.9575702887742237,0.936401328928469,0.9765470460861845,0.8894422775946754,
Ore grade elasticity to COT distribution mean,0.1095783197666346,0.3172235836882686,0.1894498056790656,0.47460182722512023,0.25635897159257004,0.14446396475387732,0.04552767989313684,0.32793498926311015,0.35793785909595494,,0.08012226166156534,0.6189813670813058,0.24434111030982003,0.25098994499601146,0.11050061349146272,0.19544730004902613,0.5761274642832424,0.9453569550181922,0.87208660754162,
Primary refinery CU elasticity to TCRC,0.17332633395341185,0.8744596772313529,1.292793205312466,1.2655817459839873,0.34875846911375646,1.3756848507954342,0.4633720294118144,0.5622733894135743,1.069114316226431,,0.7785695810611154,0.7141983914343845,0.7580871618498836,0.8149549887369935,0.8926075738468249,1.0506494933508492,0.8949324427730845,0.9755389846295318,0.8899290842478377,
Primary refinery CU elasticity to price,0.42672083276992034,0.6731642288691965,0.47856488860259677,0.5785852141251234,0.8318442644899275,0.812344354460147,0.4334347310836043,0.1993779935278771,0.5740163523362941,,0.8861127951783098,0.7151183974279265,0.9008664463234666,0.9990344930476693,0.7951780510253869,0.7725056664471285,0.8554972512366893,0.9515693106510525,0.8350018600556249,
Ref. cap. growth frac. from mine prod. growth,0.20358323779204132,0.7149095315552928,0.4625701972703968,0.17763965149710637,0.9107293408013128,0.5187404412981457,0.3708353922888691,0.3847743990593278,0.6820015721279906,,0.863868804651087,0.8888318009985144,0.8291952688778214,0.7803085600964854,0.8157118942367446,0.7587206236483606,1.0274125866243127,0.9083490514801611,0.9717303156536279,
Refined price elasticity to SD,0.37418297948179036,0.3797023404538905,0.6876004591792656,0.4174992777324646,0.48474448213308324,0.259601395218283,0.5810480817018265,0.6327419641656791,0.6600464120181675,,0.7117569433601177,0.9022148672154955,0.9632922432834629,0.5561611929837643,0.6513352673269721,0.9285241336706671,1.050077325213526,0.8630482103406762,0.8606189092741612,
Refinery SR elasticity to TCRC,0.29306952259487973,,0.5260194883930664,0.2910255941739455,0.33467356819748423,0.3311255833637224,0.4293468157578523,0.9070444865206904,0.0,,0.781156430535962,,0.8548196639922554,0.8822187379143422,0.936675155429909,0.9215597952465823,0.7838892862253571,0.8720295606867153,0.8709433749486465,
Refinery SR elasticity to scrap spread,0.2753377486312647,,0.552278332682736,0.36224699874141353,0.5776108741748478,0.14419847201847755,0.3861615364759898,0.6687017326302432,0.8070759558560877,,0.7411599498096004,,0.8264339072458328,0.8029361662360209,0.7826961531919451,0.7651187679309215,0.9815703177262566,0.8493961475548304,0.9977304626120728,
Region specific intensity elasticity to price,,,,,,,,,,,0.8479996733133888,0.6784059704952874,1.0357521712639297,0.9830302618139826,0.7942609666627617,0.7097889576483233,0.8489238274955545,0.9627845466579316,1.0512386158154474,
Scrap spread elasticity to SD,0.6969337182199239,0.4850738654167886,0.848642772728996,0.23872448797528625,0.28082240789722407,0.3311220141080376,0.3165636980671153,0.42135449503618094,0.0703093671504915,,0.7064868975042538,0.8509189479298974,0.8017810127279381,0.9548604965119953,0.6050351999027548,0.950232249541464,0.8138163635122422,0.9646610847246232,0.9302559481618018,
Scrap spread elasticity to price,0.5710255006017603,0.2987196077168172,0.49441157861273466,0.5725461306122812,0.7056580224697052,0.33764322316454826,0.4964449059049303,0.40516875863709473,0.35949197384169335,,0.9093073244257955,0.8625258008343457,0.8785825425835522,0.8090572769704237,0.8486863975487687,0.9056139308222443,0.8163210690036824,0.8234811464430706,0.7779931015751433,
Secondary refinery CU elasticity to TCRC,0.5845652572331691,,0.5142103271507411,1.33604573813133,0.6983150857015491,0.6332655282620703,0.5079250361542073,0.20177308277029277,0.29883293140590117,,0.9185846218943123,,0.7831530658043235,0.8078209654713575,0.7696268968685773,0.7791421304030095,0.8394653834912966,0.9260052568622678,0.9844688542859045,
Secondary refinery CU elasticity to price,0.48070913437157825,,0.4482253963097047,0.7769373054217069,0.3048058612650633,0.9979333542333102,0.7001338359964375,0.3503217717714568,0.7601900255883698,,0.9045079194819393,,0.8713074192919292,0.8601055485401881,0.8391460560778252,0.877056360310687,0.9570685345747104,0.8632101463785674,0.9024054875570815,
TCRC elasticity to SD,0.1536869094532491,0.1478525005419801,0.35888380207979065,0.005218311290102826,0.7740740803552887,0.4290614688922235,0.18920795850255054,0.7730920702793345,0.4100745167496253,,0.7151989667582915,0.9260528721186368,1.0003218356507768,1.2006931330291373,1.0505525293537363,0.7515052995054265,0.8570856244803926,0.9578623320712972,0.7024341985116106,
TCRC elasticity to price,0.338336479773587,0.4877603267827249,0.7900816385125796,0.22451264113792851,0.05281935507814273,0.11276818819038952,0.24859693794670432,0.8740598110862401,0.3678371148735053,,0.8099661083982879,0.9617873364517677,0.619262694873737,0.8641863167872359,0.8491162856452118,0.8544378113700307,0.897431776730963,0.8435946593214526,0.7689386092334222,
,,,,,,,,,,,,,,,,,,,,
Mine production,0.12512755248734825,0.036633596280082364,0.19384677077407725,0.5811555684413332,0.09458753886962999,0.6688349015046144,0.9141287405936016,0.21569277467952272,0.2837626166088896,,0.12512755248734825,0.036633596280082364,0.19384677077407725,0.5811555684413332,0.09458753886962999,0.6688349015046144,0.9141287405936016,0.21569277467952272,0.2837626166088896,
Refined metal price,0.6359209647633116,0.8438989748478987,1.0368019683170273,0.39906526366944606,0.42511811381092396,1.3567625497160065,0.8860484863714039,0.9099596541859658,1.296056391960794,,0.6359209647633116,0.8438989748478987,1.0368019683170273,0.39906526366944606,0.42511811381092396,1.3567625497160065,0.8860484863714039,0.9099596541859658,1.296056391960794,
Total demand,0.36079908053093745,0.036633596280082364,0.04230083334737925,0.10990078884024708,0.18316798140041146,0.10361545739558571,0.3507399813315256,0.12512755248734783,0.05982241221954783,,0.36079908053093745,0.036633596280082364,0.04230083334737925,0.10990078884024708,0.18316798140041146,0.10361545739558571,0.3507399813315256,0.12512755248734783,0.05982241221954783,
