,China,China,China,China,China,China,China,China,Global,Global,Global,Global,Global,Global,Global,Global,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW
,Bar and coin,Construction,Electrical,GDP,Industrial,Jewelry,Other,Transport,Bar and coin,Construction,Electrical,GDP,Industrial,Jewelry,Other,Transport,Bar and coin,Construction,Electrical,GDP,Industrial,Jewelry,Other,Transport
2000,,0.15722493899221912,0.1968006912633835,0.2146107593458584,0.12221467983751227,,0.19392695606046098,0.11446838594643123,,0.5996576503682562,0.5171396365507922,0.7413860066569444,0.6420574396804364,,0.5905472507340147,0.14003610399453076,,0.6880266188071373,0.6241368989559144,0.8453275509569405,0.8122236890463433,,0.6529208891492438,0.9037344931986114
2001,0.056404576095977224,0.16553387294377525,0.20890026223942995,0.2311153012734983,0.1524076660711436,0.607534084030081,0.21010029072796133,0.12409841167207908,0.2347861091636272,0.6100349530594448,0.5327400458279464,0.7461315129262113,0.6344024793780026,0.7271157167530232,0.6019103802268116,0.14852484481576467,0.2931778360147128,0.6988170455896799,0.6409066325373783,0.8467522855012134,0.7921795149166561,4.298975360898823,0.663527552061033,0.8781334712383506
2002,0.07551909003706138,0.1793887884426313,0.22059210352210756,0.25072042591026195,0.18936192409838704,0.6471223982674263,0.22928380440297685,0.15762872278958218,0.2557095536385138,0.6191659417251953,0.5540254164811101,0.7530350630719037,0.6411842762348633,0.7451640759930919,0.6151652512199524,0.18151011598725353,0.3146934190131669,0.707004504243999,0.6653963634300509,0.8502339800547445,0.7890846049149777,3.673633140502424,0.6758500678018114,0.8948385985174561
2003,0.12088676269597637,0.20257945458645596,0.24165034209290573,0.2742561622781858,0.28473967241549575,0.6976149764176705,0.25229381681635865,0.2060461037744552,0.28190603157059063,0.6399479480370093,0.5764926673744778,0.7652805150270011,0.6640084430355429,0.7727806563039721,0.6330312089584038,0.2282468821431492,0.33461436412159673,0.7273054186762976,0.6883342422736815,0.859400565104331,0.7881589538891189,3.0179520300107088,0.6929070568349515,0.8913760142523272
2004,0.1394424546835477,0.2199135720817128,0.27303894326310535,0.30022556529437067,0.3082343458389013,0.7473371133436061,0.27780380840547564,0.23347726253313802,0.317278598651429,0.6763484228058412,0.5970315232784086,0.788853920547556,0.7013370606960863,0.820241796200345,0.6607073582701256,0.2562535779004867,0.3754917968690087,0.7675140981298888,0.7052491459284028,0.8815903701512892,0.8300159993486417,2.997878015372606,0.7209238622864488,0.9365737897131039
2005,0.17760842976895716,0.2524285051438007,0.32045670649185676,0.33251135597476317,0.34463610763218766,0.795327848510092,0.30946170796756856,0.265205386839279,0.3741167453107793,0.7155620557537968,0.6339236057070741,0.8088984653286455,0.7259460548784434,0.86293609671848,0.6859666755109882,0.287749639065855,0.43844212522963794,0.8080656909157476,0.7386255177413987,0.8984761956222891,0.8507647281026567,2.8823697495975438,0.7451769202273355,0.9611382097179924
2006,0.22607082936567907,0.2907533736040081,0.38716811572261084,0.372666109839349,0.3928102237764021,0.8375796117610234,0.348823624989575,0.3172720308649072,0.44066227001254626,0.7633740826397712,0.658155386632848,0.8330819195792036,0.7656743923093879,0.8938169257340234,0.7152962488339352,0.33857451550524714,0.5109070121186743,0.8577726283314924,0.7486685651288821,0.9188939756748111,0.8877284093767169,2.573604930809299,0.7729287785751637,0.9748719424115793
2007,0.2862809749622279,0.33247939501651214,0.44513595400439787,0.4232841987761338,0.4475269850901554,0.8186600591921451,0.3984660686219945,0.38870032564689894,0.5128092339329774,0.7909813431561804,0.6820145496795588,0.8572313128442128,0.8016459019629143,0.8604490500863541,0.7452063894548101,0.4085417655542804,0.5869613952828611,0.8825598886446103,0.7611349989176998,0.937487281716774,0.9175638151641343,2.1086709278594307,0.7997357609621545,1.00119832052138
2008,0.3615407276720866,0.37784812900866444,0.4933927480119715,0.4615203548445851,0.48657206043492873,0.8233676365058812,0.43693513593838185,0.4216251722403242,0.5923199175866021,0.7835373261732794,0.704338307016422,0.8619685865973452,0.7971614279599507,0.8554749568221053,0.7586377825618713,0.4380664966964945,0.6678635861977058,0.86456735613814,0.7747967937600303,0.9354224253663358,0.8988303014105147,1.8145088745550364,0.8092296580336782,0.9291628463956508
2009,0.49099061163871704,0.45628634404512136,0.5415042979325488,0.5020445991025655,0.5232366820040344,0.8618377302909246,0.4780062223968595,0.5251250447054239,0.6755238647226304,0.7490613947681783,0.7288477368791693,0.8366175164905864,0.7198892549336465,0.8778583765112248,0.7454319565408608,0.5348865604373995,0.7359293064951915,0.8075386017011168,0.7914228167804435,0.897709000526631,0.7842618563212255,1.3563892211268693,0.787488089997557,0.8264594660316914
2010,0.5535871108474415,0.5127695310022405,0.596506571987216,0.5523027210441691,0.5788497467338044,0.8755343667040626,0.5288476356339679,0.6457660339375413,0.7500989392919367,0.7412246624503546,0.7617843312802701,0.8624841588011541,0.7843292817453063,0.88656303972366,0.7779183140949867,0.6539004290067719,0.8144254691305757,0.7868549781606233,0.8169891948816757,0.9186837162152783,0.8515913165285223,1.215985470160354,0.8170878791596038,0.8968718353651401
2011,0.6423277150073792,0.5726877311893709,0.6560386152330274,0.6015551465006893,0.642746196685779,0.8923143280680284,0.5792808890056502,0.6571902675038189,0.8067238241915373,0.7600959567252907,0.7945348093609821,0.8789486997893805,0.8072494112588011,0.9045941278065628,0.8024345730242378,0.6662343505373545,0.8605375376280181,0.7975277992218882,0.840794291210509,0.9288711866310937,0.8610981847628978,1.271387255860651,0.8375283576462726,0.9363778037600974
2012,0.7104416235674774,0.6267361510877101,0.7120628291455647,0.6451733970586278,0.6812884143671335,1.0016445591217746,0.6247907140006336,0.6829445845184103,0.8481205137523419,0.7822332440147457,0.8285539079342137,0.8903442206289903,0.8133176053298786,1.0160967184801388,0.8226674257115475,0.6927984032992418,0.8931885654199232,0.8132913401814369,0.8674634027314257,0.9341542619639203,0.8565362744515455,1.4477774340504426,0.8537860815967933,0.9871283672120489
2013,0.7568841137510637,0.6795720132641514,0.7756181951452779,0.691405280127544,0.7137960439569122,1.004013114292086,0.6732596980199548,0.7635085726422428,0.8743597483190728,0.8092682653841946,0.8756889216255824,0.903165322271852,0.8245839990645975,1.014024179620036,0.8444943502710448,0.7711215550728167,0.9128144305240502,0.8351730498080029,0.9091138109117656,0.9407531036859235,0.8608495244347876,1.3130510403977216,0.8714231999217109,0.9985185565701916
2014,0.8062017214195729,0.7396412158540763,0.8371142954030861,0.7379567625950698,0.7614641856867055,1.0014031421599547,0.722391941820592,0.7713706335716481,0.8977268190039115,0.8469009558017098,0.915361145482927,0.9180133597362037,0.8479103964182305,1.0115371329879117,0.8684957654289261,0.7791767434153914,0.9276868064883607,0.8683244001594191,0.9414965838163942,0.9497395596489118,0.8762078520883322,1.3142357335028243,0.8914724693122443,1.0123423901266773
2015,0.8220754181304707,0.7677024147555375,0.8789827498029049,0.7849707253777439,0.7871981111664532,1.0137657012948316,0.7722384653857253,0.7824150952620301,0.9068715071707577,0.8777783839089026,0.9390173958200106,0.9334573286401391,0.8683966480094835,1.0229360967184815,0.893337866642695,0.7894927225676505,0.934628809084981,0.8997643257117577,0.9590697274761807,0.9594091110131139,0.8949763208181475,1.2968524548475384,0.9123823037724691,1.0008988622364505
2016,0.8481164612896974,0.8091434521966158,0.9027387742014498,0.8337015952507371,0.8239784425665682,1.0273280925334392,0.8239784425665683,0.8566285391870376,0.9139414740845473,0.9102228606295005,0.9538980721135251,0.9468480936013134,0.887930027048429,1.0326770293609675,0.916457372072937,0.861088703348878,0.9354887503131264,0.9304118810702483,0.9709859251632033,0.966477074016132,0.9088640519362112,1.192447816548661,0.9310008722102796,0.9943121759941584
2017,0.8862612525758233,0.8808329551036623,0.9350211188595138,0.8874224822843687,0.8808329551036626,0.9678599539835634,0.8808329551036624,0.8957921380632302,0.932324349001461,0.9430238578039057,0.9717144182362559,0.9659316623354984,0.9266139178027492,0.9715371329879112,0.9453580274174735,0.8991955106573626,0.9474027245381316,0.9554455114850059,0.9839704446722563,0.979432205857147,0.941599939185865,1.081373125279141,0.9555054242684864,1.000853005593379
2018,0.9352985791689964,0.9394964299135663,0.9766384733123221,0.9428267828808171,0.9394964299135664,1.001226645809762,0.9394964299135663,0.9596734196035401,0.9589100306675693,0.9716050142193405,0.9882533142049684,0.9832482232741108,0.9632138554309836,1.0024179620034552,0.9728279482836582,0.9608152934142455,0.966639045004157,0.9780181984170219,0.9921328180775594,0.9901413693026008,0.9709775594905218,1.038002141101668,0.9780697578999762,0.994922646611331
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
