,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Al,Al,Al,Al,Al,Al,Al,Al,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Cu,Cu,Cu,Cu,Cu,Cu,Cu,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Sn,Sn,Sn,Sn,Sn,Sn,Sn,Sn,Steel,Steel,Steel,Steel,Steel,Steel,Steel,Steel,Steel,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn
,Total demand,Primary commodity price,Primary supply,Scrap demand,Primary supply (BGS),"Refined price, inflation, oil price adjusted","Refined price, unadjusted","Refined price, inflation, oil price adjusted, rolling mean",Total demand,Primary commodity price,Primary supply,Primary demand,Scrap demand,"Refined price, inflation, oil price adjusted","Refined price, unadjusted","Refined price, inflation, oil price adjusted, rolling mean",Total demand,Primary commodity price,Primary supply,Scrap demand,Total production,"Primary commodity price, not adjusted for oil",Actual demand,Unnamed: 8,Unnamed: 9,Unnamed: 10,Primary commodity price.1,Primary commodity price.2,Unnamed: 13,Unnamed: 14,Unnamed: 15,Primary commodity price old,"Refined price, inflation, oil price adjusted","Refined price, unadjusted","Refined price, inflation, oil price adjusted, rolling mean",Total demand,Primary commodity price,Primary supply,Scrap demand,"Refined price, inflation, oil price adjusted","Refined price, unadjusted","Refined price, inflation, oil price adjusted, rolling mean",Total demand,Primary commodity price,Primary supply,Scrap demand,Mine production - INSG,Mine production - USGS,"Refined price, inflation, oil price adjusted","Refined price, unadjusted","Refined price, inflation, oil price adjusted, rolling mean",Total demand,Primary commodity price,Primary supply,Scrap demand,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Refined price, inflation, oil price adjusted","Refined price, unadjusted","Refined price, inflation, oil price adjusted, rolling mean",Total demand,Primary commodity price,Primary supply,Scrap demand,Original primary commodity price,"Refined price, inflation, oil price adjusted","Refined price, unadjusted","Refined price, inflation, oil price adjusted, rolling mean",Total demand,Primary commodity price,Primary supply,Scrap demand,Total production,"Primary commodity price, not adjusted for oil","Refined price, inflation, oil price adjusted","Refined price, unadjusted","Refined price, inflation, oil price adjusted, rolling mean",Total demand,Primary commodity price,Primary supply,Scrap demand,Total demand.1,New scrap from first use production,New scrap from end use production,Old scrap,"Refined price, inflation, oil price adjusted","Refined price, unadjusted","Refined price, inflation, oil price adjusted, rolling mean"
Source(s),"The Silver Institute, World Silver Surveys, taking the maximum value reported in the surveys from 2001-2022, https://www.silverinstitute.org/all-world-silver-surveys/. Using total demand after hedging adjustments (appears equal to total supply)","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","The Silver Institute, World Silver Surveys, taking the most recent  value reported in the surveys from 2005-2022, https://www.silverinstitute.org/all-world-silver-surveys/. ","The Silver Institute, World Silver Surveys, taking the maximum value reported in the surveys from 2001-2022, https://www.silverinstitute.org/all-world-silver-surveys/. Using scrap supply reported, assuming that only the scrap that is consumed is reported as collected",https://www2.bgs.ac.uk/mineralsuk/statistics/wms.cfc?method=searchWMS,"Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","baseline_scenario.xlsx for aluminum, sheet demand_sectors summed across. Assumed 2019 was same ratio with 2018 as that of primary demand","baseline_scenario.xlsx for aluminum, sheet ref_prices, but subtracting out oil price effects from regression. Done in http://localhost:8888/notebooks/Dropbox%20(MIT)/Group%20Research%20Folder_Olivetti/Displacement/08%20Generalization/_Python/Integration/Generalization%20integration.ipynb#Demand-experimentation, Section 8 prices and price adjustments","baseline_scenario.xlsx for aluminum, sheet smelter_prod (trying to account for bauxite/alumina used for things other than aluminum)","baseline_scenario.xlsx for aluminum, sheet primary_consump_kt",Total minus primary,"Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","World gold council for 2010-2019: https://www.gold.org/goldhub/data/gold-demand-by-country, Seeking Alpha 2003-2009: https://seekingalpha.com/article/1461891-is-it-time-to-buy-gold. Assumed 2001-2002 followed the same trend as primary supply. 2006-2015 validated by https://www.spdrgoldshares.com/media/GLD/file/GDT_Q1_2016.pdf (this one is on google scholar as Gold Demand Trends, Street 2016), table 10 in https://www.spdrgoldshares.com/media/GLD/file/GDT_Q1_2010.pdf, table 9 in https://www.spdrgoldshares.com/media/GLD/file/GDT_Q1_2012.pdf; for early years, taking the largest value I can find since it appears from price changes that demand exceeds supply","C:\Users\ryter\Dropbox (MIT)\Group Research Folder_Olivetti\Displacement\00 Simulation\05 Data Compile\Metalor and other, iron ore and precious metals, daily.xls   // oil price adjusted for 2002-2018 // assumed 2001 48 dollar decrease // assumed 2019 had 18% increase based on Macrotrends Hundred Year Price Chart","World gold council for 2010-2019: https://www.gold.org/goldhub/data/gold-demand-by-country, remainder from USGS minerals yearbooks","World gold council for 2010-2019: https://www.gold.org/goldhub/data/gold-demand-by-country, remainder using the BCG Recycled Content plot (exhibit 2, https://www.gold.org/goldhub/research/ups-and-downs-gold-recycling) to calculate total and secondary production from primary supply","World gold council for 2010-2019: https://www.gold.org/goldhub/data/gold-demand-by-country, remainder using the BCG Recycled Content plot (exhibit 2, https://www.gold.org/goldhub/research/ups-and-downs-gold-recycling) to calculate total and secondary production from primary supply","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years",Other one is doing 5-yr rolling mean,,,,"C:\Users\ryter\Dropbox (MIT)\Group Research Folder_Olivetti\Displacement\00 Simulation\05 Data Compile\Metalor and other, iron ore and precious metals, daily.xls   // oil price adjusted for 2002-2018 // assumed 2001 48 dollar decrease // assumed 2019 had 18% increase based on Macrotrends Hundred Year Price Chart","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years",,,,"C:\Users\ryter\Dropbox (MIT)\Group Research Folder_Olivetti\Displacement\00 Simulation\05 Data Compile\Metalor and other, iron ore and precious metals, daily.xls   // oil price adjusted for 2002-2018 // assumed 2001 48 dollar decrease // assumed 2019 had 18% increase based on Macrotrends Hundred Year Price Chart","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","2001-2016 from ICSG Statistical Yearbook 2018, with 2017-2019 from 2021 ICSG World Copper Factbook page 40","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years",IGSG Factbook 2018,"ICSG World Copper Factbooks 2012 and 2021, for 2002-2010 and 2010-2019 respectively, see https://icsg.org/wp-content/uploads/2021/11/ICSG-Factbook-2021.pdf (pages 40 and 55) and https://vdocument.in/2012-world-copper-factbook.html?page=43 (page 43). For 2010, took the average of the values from the 2012 and 2021 factbooks, and for 2001 assumed the same growth rate as for total demand.","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","THE WORLD NICKEL FACTBOOK 2021 (insg.org), page 37, assuming that a negligible amount of nickel has been recycled outside the stainless steel industry, for 2015-2019. For 1995-2014, use figure 2 from Elshkaki et al 2017 (https://www.sciencedirect.com/science/article/pii/S0921344917301817) to get recycling input rate, and scale using primary demand reported in world nickel factbook page 24","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years",USGS NMIC https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-nickel.pdf,"THE WORLD NICKEL FACTBOOK 2021 (insg.org), page 37, assuming that a negligible amount of nickel has been recycled outside the stainless steel industry, for 2015-2019. For 1995-2014, use figure 2 from Elshkaki et al 2017 (https://www.sciencedirect.com/science/article/pii/S0921344917301817) to get recycling input rate, and scale using primary demand reported in world nickel factbook page 24","THE WORLD NICKEL FACTBOOK 2021 (insg.org), page 11","USGS Mineral Yearbooks, 2002-2019 using most recent year","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","1990-2005: http://large.stanford.edu/publications/power/references/docs/ILZSG.pdf (page 35, has data back to the 1970s), 2017-2021: https://www.ilzsg.org/static/statistics.aspx?from=1, 2005-2016: used page 21 of https://gdb-online.org/www.blei-online.org/wp-content/uploads/2021/10/ILZSG-Lead-Factbook.pdf, asserted alignment between this data and previously existing data by assuming a linear change in the ratio between the original data and this data for years where there was overlap, and multiplying this data by this ratio to maximize continuity","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","USGS NMIC https://pubs.usgs.gov/periodicals/mcs2023/mcs2023-lead.pdf, https://www.usgs.gov/media/files/lead-historical-statistics-data-series-140","2007-2018: used page 21 of https://gdb-online.org/www.blei-online.org/wp-content/uploads/2021/10/ILZSG-Lead-Factbook.pdf, 1990-2004: use Total production minus Mine production from page 21 of https://gdb-online.org/www.blei-online.org/wp-content/uploads/2021/10/ILZSG-Lead-Factbook.pdf. 2018-2021 use Metal production minus Mine production from https://www.ilzsg.org/static/statistics.aspx?from=1. For 2005, interpolate recycling input rate from 2004 and 2006 and calculate scrap demand from that",,,Mine production,Total production,Total production minus mine prod,"Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Smelter production of tin which claims to include both primary and secondary sources, from British Geological Survey, found here: https://www2.bgs.ac.uk/mineralsuk/statistics/worldArchive.html","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Mine production, from British Geological Survey, found here: https://www2.bgs.ac.uk/mineralsuk/statistics/worldArchive.html","Calculated from Smelter production of tin which claims to include both primary and secondary sources minus mine production, from British Geological Survey, found here: https://www2.bgs.ac.uk/mineralsuk/statistics/worldArchive.html","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","https://worldsteel.org/wp-content/uploads/2020-World-Steel-in-Figures.pdf (2013-2019), https://www.sciencedirect.com/science/article/abs/pii/S0301420713001207 (2001-2011), 2012 linearly interpolated","using lots of data (C:\Users\ryter\Dropbox (MIT)\Group Research Folder_Olivetti\Displacement\08 Generalization\_Python\Integration\data\steel price.xlsx), but mostly from https://profitablenews.com/wp-content/uploads/2018/05/SteelBenchmarkerHRB.jpg (2002-2018), taking annual average and deflating, then 2019 was estimated based on the slight decrease shown here: https://i.pinimg.com/originals/73/78/38/7378388c1a0e89eed9e0d46f5fd6dcc4.jpg, 2001 is average of 2002-03. This version removes the differences associated with oil price, performed here: http://localhost:8888/notebooks/Dropbox%20(MIT)/Group%20Research%20Folder_Olivetti/Displacement/08%20Generalization/_Python/Integration/Generalization%20integration.ipynb#Demand-experimentation, section 8 prices and price adjustments",https://www.steelconstruction.info/Recycling_and_reuse (they cite worldsteel),,https://worldsteel.org/wp-content/uploads/2020-World-Steel-in-Figures.pdf,"using lots of data (C:\Users\ryter\Dropbox (MIT)\Group Research Folder_Olivetti\Displacement\08 Generalization\_Python\Integration\data\steel price.xlsx), but mostly from https://profitablenews.com/wp-content/uploads/2018/05/SteelBenchmarkerHRB.jpg (2002-2018), taking annual average and deflating, then 2019 was estimated based on the slight decrease shown here: https://i.pinimg.com/originals/73/78/38/7378388c1a0e89eed9e0d46f5fd6dcc4.jpg, 2001 is average of 2002-03","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","International Zinc Association Publication: Zinc Recycling 2050 Demand and Supply, https://www.zinc.org/wp-content/uploads/sites/24/2022/03/2050-Demand-Supply_VF_3_22.pdf, figure 3","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","International Zinc Association Publication: Zinc Recycling 2050 Demand and Supply, https://www.zinc.org/wp-content/uploads/sites/24/2022/03/2050-Demand-Supply_VF_3_22.pdf, figure 6","International Zinc Association Publication: Zinc Recycling 2050 Demand and Supply, https://www.zinc.org/wp-content/uploads/sites/24/2022/03/2050-Demand-Supply_VF_3_22.pdf, figure 4, using old scrap only due to massive supply-demand imbalance otherwise",sum of primary supply and scrap demand,"International Zinc Association Publication: Zinc Recycling 2050 Demand and Supply, https://www.zinc.org/wp-content/uploads/sites/24/2022/03/2050-Demand-Supply_VF_3_22.pdf, figure 4, using old scrap only due to massive supply-demand imbalance otherwise","International Zinc Association Publication: Zinc Recycling 2050 Demand and Supply, https://www.zinc.org/wp-content/uploads/sites/24/2022/03/2050-Demand-Supply_VF_3_22.pdf, figure 4, using old scrap only due to massive supply-demand imbalance otherwise","International Zinc Association Publication: Zinc Recycling 2050 Demand and Supply, https://www.zinc.org/wp-content/uploads/sites/24/2022/03/2050-Demand-Supply_VF_3_22.pdf, figure 4, using old scrap only due to massive supply-demand imbalance otherwise","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years","Fastmarkets AMM through 2018, combined with data from real-time-capital.com and investing.com to extrapolate to most recent years"
1990,,,,,,632854.1384977888,294715.4282223572,670558.3003139748,,,,,,,,,,,,,,,,,,,,,,,,,56725165.38599491,25879548.540848527,53816692.49175074,13874.871224165341,,9086,,6506.748099862238,5193.988050836508,6985.9221062700935,,,,,,,,,,5403,,3370,2290,,,,,,,,,227.468,,210.609,16.85899999999998,22075.4896286037,22075.48962860371,12120.044538611524,24600.89051775726,,,,,,,,,,,,,,,,,,3194.229749962722,2972.0024402810927,2966.7000757574406
1991,19.179588989644255,,,3.806943177550035,,703103.5531207297,268264.1605149412,690729.0320602083,,,,,,,,,,,,,,,,,,,,,,,,,53591163.88369099,23995033.33261719,52432925.065312564,13570.94912559618,,9227,,7271.786157280719,4386.684026887008,6844.262411909401,,,,,,,,,,5255,0.9726078104756617,3260,2276,,,,,,,,,203.57,,193.325,10.245000000000005,20090.9712385154,20090.97123851547,10500.082024435917,23477.093085090957,,,,,,,,,,,,,,,,,,2359.022913619576,2097.282786561937,2786.136344754706
1992,19.57933143746311,,,3.9786446316467243,,675717.2093234062,253712.7985060236,734246.5037987386,,,,,,,,,,,,,,,,,,,,,,,,,51133748.20556631,22099923.204549644,50293611.23275053,14074.26709062003,,9373,,7179.232061667323,4156.050645727009,7046.13413854354,,,,,,,,,,5279,1.0045670789724073,3200,2468,,,,,,,,,203.138,,185.542,17.596000000000004,21645.9917213022,21645.991721302264,11113.987090144275,20601.540790736784,,,,,,,,,,,,,,,,,,2593.349282747286,2260.7148896546096,2472.4132793856475
1993,20.700756559532117,,,3.9840103020872455,,751241.2272989084,268826.4859218458,771428.6572058719,,,,,,,,,,,,,,,,,,,,,,,,,48281622.78599803,22456898.076130435,47401644.404268615,14152.57233704292,,9497,,6419.283328827324,3390.326886867826,7601.628659536412,,,928,,,,10675.350441645018,8272.262813750325,13998.07439336265,5224,0.9895813601060807,2900,2811,,,,,,2075.34541543707,705.3409553268115,2530.9225140546346,197.326,,185.877,11.448999999999984,18981.9033544257,18981.90335442574,9140.47070658912,20442.879941526677,,,,,,,,,,,,,,,,,,2063.881420743769,1704.6490093465677,2259.5505998499743
1994,20.593443150721683,,,4.077909534796373,,908316.3907528598,321557.7331066234,774377.0399846103,,,,,,1893.567209844163,2803.387738651668,1753.5745890817198,,,,,,,,,,,,,,,,,41736355.9025024,23380779.136830967,45303157.74676217,15025.8187599364,,9571,,7853.6210450801,3973.8412384037297,7434.653400168334,,,932,,,,14083.627025048196,10932.97607209737,13987.98684729914,5486,1.0501531393568146,2800,2773,,,,,,2686.7144718455065,944.67056467865,2653.427959983752,231.257,,184.409,46.84800000000001,20213.3480108367,20213.348010836744,9420.341632260968,20172.22558989979,,,,,,,,,,,,,,,,,,2151.583029854886,1722.0746327594686,2180.7421837226425
1995,20.6470998551269,,13.69282818987615,4.370338573804797,,818764.9055334553,307681.1786424779,771924.7741841091,,,,,,1925.0768275810728,2777.7576539808347,1740.1023416555245,,,,,,,,,,,,,,,,,42265331.24358534,22743609.9672892,42699474.2543626,15524.71701112877,,9539,,9284.22070482659,4921.779817125275,7297.890317549446,1469.917875310188,,1040,461.4750985747279,,,17235.245713394736,13809.076116285649,13933.272963905087,5870,1.0699963543565438,2710,3022,,,,,,2830.7076548813275,1057.3715533936736,2602.125478229391,219.834,,198.006,21.828000000000003,21282.1853825531,21282.185382553165,10410.932266439891,19277.534861008797,,,,,,,,,,,,,,,,,,2129.9163522843555,1730.6237765237092,2166.3837468620027
1996,21.808767505499812,,15.371121003210868,4.249610988893062,,717845.4670144216,299189.4723220442,791036.9189753005,,,,,,1442.0797298199234,2118.63781197098,1720.2909274415917,,,,,,,,,,,,,,,,,43098730.596158735,22300805.49742988,38736387.762276486,16298.22098569157,,10070,,6436.9098604403325,3742.736314676677,7204.197748044151,1432.5767347969486,,1060,461.6574102190877,,,13957.72420910861,12253.523382292213,14271.984191819432,5975,1.0178875638841567,2920,2841,,,,,,3020.9442977711024,1264.1332670239915,2652.17658516453,230.744,,223.401,7.342999999999989,18737.699480381,18737.699480381023,10043.727636204172,19382.94092656616,,,,,,,876.3195981684155,405.8704943758826,807.146112070524,,,,,,,,,1964.980832982917,1672.3997834359106,2192.547221481312
1997,22.67264044642378,,15.371121003210868,4.5420400279014865,,663455.8803209002,275609.5743679259,744831.7441752071,,,,,,1699.685599376939,2330.080738029385,1641.367454885293,,,,,,,,,,,,,,,,,38115330.74356846,18619115.60938465,36212576.86572409,17228.263910969792,,11084,,6495.416648572882,3623.350465401219,6576.533181241621,1558.8604356972196,,1140,508.20377528446966,,,13714.41743032888,11047.23122684939,14032.338449010229,6053,1.0130543933054392,3100,3006,,,,,,2396.915551211947,994.112746166364,2490.7121657904295,238.179,,221.516,16.66300000000001,17172.5380768473,17172.538076847322,8987.817310136394,18603.738849196863,,,,,,,784.7281377631289,363.5468558814899,732.8905598089526,,,,,,,,,2521.5570984440856,2095.694714278404,2178.032451872573
1998,22.35874872565327,,15.371121003210868,5.204163760261844,,846801.9512548656,307234.2734061906,676340.8853710752,,,,,,1641.0452705858595,1890.577892889552,1520.718660745583,,,,,,,,,,,,,,,,,28466190.3255675,16280061.73124744,34183649.21246073,17875.6120826709,,11514,,5950.820481300845,2595.42326749326,5495.630240333031,1566.6470888700878,,1180,530.0617230164378,,1180,12368.906581216736,7274.192290549498,13211.326596572097,6067,1.0023129026928796,3060,3032,,,,,,2325.6009501127664,829.6444107239671,2177.4633918486697,237.03,,212.014,25.01599999999999,19508.9336822125,19508.93368221255,8685.025284531834,16832.024559917925,,,,,,,760.3906002800281,313.382757901813,672.9589691587908,,,,,,,,,2194.6987938403163,1608.015631646607,2118.7746690218996
1999,23.802114074153568,,15.787859252467968,4.872028759993561,17.020807,677290.5167523928,282380.54482698644,620206.7346441388,,,,,,1498.9498470626709,1829.080699859515,1505.3645831563294,,,,,,,,,,,,,,,,,29117301.41974041,15106427.343710728,32284337.75963962,19129.20031796502,,12228,,4715.298211067456,2413.752576814248,4949.551247347358,1635.0227035488601,,1170,523.3904333800101,,1170,12885.398311002187,9208.52682714802,12516.188833009119,6242,1.0288445689797263,3080,3322,,,,,,1879.3923749750047,770.371521561483,1846.847497255497,248.103,,220.062,28.040999999999997,16317.3376239902,16317.337623990246,8290.670854554832,15251.139301146934,,,,,,,510.1239030242381,235.61482057695665,584.4871549211271,,,,,,,,,2079.0091818111887,1649.2820459379534,2026.2263831303567
2000,25.38766968932768,,16.754578592581378,4.850566078231476,18.202192999999998,476310.6115127957,259503.19861596508,576926.7016345124,,,,,,1321.8328568825234,1810.0478932919232,1452.2935119306997,,,,,,,,,,,,,,,,,32120692.977268543,14627677.068935337,31967128.555510532,20776,,12767,,3879.706000283642,2692.3410003127506,4376.252997898986,1661.7302002671909,,1290,507.8840464210409,1169.491525,1290,13130.18645120406,12831.078391846988,12128.436327035462,6508,1.0426145466196732,3200,3596,,,,,,1264.4637851725265,673.9142310801864,1622.6948769508153,260.669,,249.026,11.642999999999972,12423.6139361584,12423.613936158492,8068.983030512972,13765.211037987148,,,,,,,433.23260655814295,252.24281716334903,517.8362347590776,10351.0764090917,,9064.96608795798,1217.13444065003,10282.10052860801,1084.37067773167,531.1366520194001,1217.13444065003,1833.62743803099,1673.838457039541,1785.285982286397
2001,23.772602886730695,,17.185491612221373,5.070558566292858,19.002631,437174.7133797401,222900.38102231736,491147.9643135311,36692.949911590506,1997.990545,24167.13587489007,23586.24209233735,13106.707819253155,1365.3093418736548,1695.2970167993146,1430.6872115981143,3.728,32158607.71441728,2.56,0.9468493150684931,3.506849315068493,,3.728,,,,13566761.083007999,384.621696,,,,11873993.704704,33602173.332053214,13808108.374743678,34515012.62439835,20067,,13199,6952.018640945637,3706.5148955119657,2283.1880860747588,3904.0508607717907,1646.5508055892237,,1350,506.7759463021736,,1350,10482.035391293732,8633.621267837483,12531.217254603398,6482,0.9960049170251998,3120,3584,,,,,,1367.864824805241,688.3518271230299,1410.8463350223815,280.695,,244.295,36.400000000000006,10833.273186526,10833.273186526048,6477.493460676628,11934.06326429425,857999.999999991,424.808601,502359.712230216,349640.287769784,852000,447.613749,433.9605269800974,240.4891880792503,471.76560257372455,9866.34884288369,,8515.085081853182,1363.13866317931,9878.223745032492,1088.15517500968,495.7833984711199,1363.13866317931,1502.239403525203,1281.3512314204102,1605.851788137536
